"MC.order.supervized.plot..figure.legends.etc"	"Abbreviations..short..for.figures."	"Color.code"	"technical.Abbreviations..internal.use."	"group.name.V11"	"MC.Familes"	"Group.summary..1..Histology..1.sentence..2..Location.and.age..1.sentence...3..Typical.CN.changes.observable.on.450K.CNP..at.least.observed.in.20..of.cases..one.sentence...4..Principal.molecular.features.besides.methylation.and.CNP..e.g..recurrent.gene.pathway.mutations.observed.in.at.least.20..of.cases..1.sentence...5..WHO.equivalent..if.very.close.to.WHO.group."	"groupSize"	"age.median..range."	"Male.Female"	"Class.in.comparisson.to.WHO..equivalent..more.than.95..of.respective.class..no.subclasses..subclass..more.than.95..but.subclasses..combination..less.than.95..of.one.WHO.entity.."	"Diagnosis_Max_1"	"Diagnosis_Max_2"	"LocalisationStandarized"	"Publication"	"Author"	"age_median"	"age_min"	"age_max"	"age_mean"	"Diagnosis_Max_3"	"Old.group.order."	"Short.Class.name.for.graphical.table"	"Old.names..do.not.use...internal.name.only."	"German.name.V11"
27	"ENB, A"	"aa4a1c"	"ENB_A"	"methylation class esthesioneuroblastoma, subclass A"	"MTGF_ENB_nC"	"The methylation class "esthesioneuroblastoma, subclass A" exclusively comprises tumors with the histological diagnosis esthesioneuroblastoma. All tumors have an association with the fronto-basal region and are frequently intranasal. Median age is 63 years (range 20 to 81). Esthesioneuroblastoma form at least two methylation classes (subclass A and B) of unknown significance. Further clinical and molecular characterization of this tumor class is pending. Numeric whole chromosome changes are frequent in this class, often including gain of chromosome 20 (>50% of cases) and loss of 1, 3, 4, 8, 10 and 12 (each in over 50% of cases). "	23	"63 (20-81)"	1	"WHO subclass"	"Esthesioneuroblastoma/Olfactory neuroblastoma (23; 100%)"	""	"mesenchyme (13; 86.7%), supra (4; 26.7%), peripheral nerve (3; 20%)"	"pending"	"DC"	63	20	81	57.9130434782609	""	20	"Neuronal"	"ENB_A"	"Methylierungsklasse Ästhesioneuroblastom, Subtyp A"
28	"ENB, B"	"ff8339"	"ENB_B"	"methylation class esthesioneuroblastoma, subclass B"	"MTGF_ENB_nC"	"The methylation class "esthesioneuroblastoma, subclass B" exclusively comprises tumors with the histological diagnosis esthesioneuroblastoma. All tumors have an association with the fronto-basal region and are frequently intranasal. Median age is 55.5 years (range 32 to 82). Esthesioneuroblastoma form at least two methylation classes (subclass A and B) of unknown significance. Further clinical and molecular characterization of this tumor class is pending. Numeric whole chromosome changes are frequent in this class, with loss of chromosome 1, 2, 3, 4, 8, 9, 10, 12 and 21 each in over 50% of cases. "	16	"55,5 (32-82)"	1	"WHO subclass"	"Esthesioneuroblastoma/Olfactory neuroblastoma (16; 100%)"	""	"mesenchyme (12; 92.3%), supra (3; 23.1%), peripheral nerve (2; 15.4%)"	"pending"	"DC"	55.5	32	82	56.1875	""	21	"Neuronal"	"ENB_B"	"Methylierungsklasse Ästhesioneuroblastom, Subtyp B"
29	"PGG, nC"	"f5811d"	"PGG_nC"	"methylation class paraganglioma, spinal non-CIMP"	NA	"The methylation class "paraganglioma, spinal non-CIMP" exclusively comprises tumors with the histological diagnosis of paraganglioma. Location is spinal in all reference cases; median age is 42 years (range 18 to 73). The class is likely related to the M3 cluster described in Letouze et al., Cancer cell 2013 (Hypermethylator Phenotype in SDH-Related PGL/PCC). As described in that resource other methylation classes of paraganglioma also exist. Recurrent chromosomal alterations are not observed and most cases show a flat profile in copy number analysis."	19	"42 (18-73)"	1.11111111111111	"WHO subclass"	"Paraganglioma   (19; 100%)"	""	"spinal (19; 100%)"	"Letouze et al., Cancer Cell 2013;PMID: 23707781"	"DC"	42	18	73	43.2631578947368	""	75	"Neuronal"	"PGG"	"Methylierungsklasse Paragangliom, Subtyp spinal non-CIMP"
30	"LGG, GG"	"e4703a"	"LGG_GG"	"methylation class low grade glioma, ganglioglioma"	NA	"The methylation class "low grade glioma, ganglioglioma" is primarily comprised of tumors with a histological diagnosis of ganglioglioma, but to a lesser extent also dysembryoplastic neuroepithelial tumor. Tumors are exclusively located supratentorially. Median age is 20 years (range 7 to 49). Alterations of the MAPK pathway are frequent in this class, and in particular BRAF V600E mutation is highly recurrent. Most cases show a flat profile in copy number analysis, with rare cases showing gain of chromosome 7 and/or X (both in around 20% of cases). "	21	"20 (7-49)"	2	"not equivalent to WHO"	"Ganglioglioma  (17; 81%)"	"Dysembryoplastic neuroepithelial tumor   (4; 19%)"	"supra (21; 100%)"	"pending"	"DJ"	20	7	49	22.4285714285714	""	43	"Neuronal"	"GG"	"Methylierungsklasse niedriggradiges Gliom, Subtyp Gangliogliom"
31	"SCHW"	"ffe1b2"	"SCHW"	"methylation class schwannoma"	NA	"The methylation class "schwannoma" exclusively comprises tumors with the histological diagnosis schwannoma. Location of the cases of the reference cohort was almost exclusively in the cerebello-pontine angle ("vestibular schwannoma"); median age is 21 years (range 12 to 68). Molecularly, these tumors frequently show loss of chromosome 22 (>50% of cases, otherwise the copy number profile is usually flat."	23	"21 (12-68)"	2.83333333333333	"WHO equivalent"	"Schwannoma   (23; 100%)"	""	"peripheral nerve (14; 60.9%), PF (11; 47.8%), spinal (7; 30.4%)"	"Koelsche et al., Brain Pathol. 2015 Mar;25(2):202-8; PMID: 25399693"	"DC"	21	12	68	29.4347826086957	""	90	"Nerve"	"SCHW"	"Methylierungsklasse Schwannom"
32	"SCHW, MEL"	"f7ca8a"	"SCHW_MEL"	"methylation class melanotic schwannoma"	NA	"The methylation class "melanotic schwannoma" exclusively comprises tumors with the histological diagnosis melanotic schwannoma. Location is typically along the spinal meninges and frequently cervical; median age is 38 years (range 11 to 64). Numeric whole chromosome changes are frequent in this class, with gain of chromosome 5, 7 and 9 (> 50% of cases) and loss of chromosome 21 and 22 (>30%) being most frequent. Additional molecular features have not been defined."	8	"38 (11-64)"	0.333333333333333	"WHO equivalent"	"Melanotic schwannoma (8; 100%)"	""	"spinal (5; 71.4%), meningeal unspecified (1; 14.3%), peripheral nerve (1; 14.3%)"	"Koelsche et al., Brain Pathol. 2015 Mar;25(2):202-8; PMID: 25399693"	"DC"	38	11	64	39.25	""	56	"Nerve"	"MEL_SCHW"	"Methylierungsklasse melanotisches Schwannom"
33	"CPH, ADM"	"72d4c8"	"CPH_ADM"	"methylation class craniopharyngioma, adamantinomatous"	NA	"The methylation class "craniopharyngioma, adamantinomatous" exclusively comprises tumors with the histological diagnosis of adamantinomatous craniopharyngioma. These tumors are located in the vicinity of the pituitary gland. There is a bimodal age distribution, with peaks in early childhood and at around 50 years of age; median age is 37 years (range 3 to 66). Molecularly, these tumors are characterized by mutations in beta catenin (CTNNB1) and activation of the WNT and SHH signaling pathways. Recurrent chromosomal alterations are not observed and most cases show a flat profile in copy number analysis."	25	"37 (3-66)"	2.125	"WHO equivalent"	"Adamantinomatous craniopharyngioma   (25; 100%)"	""	"supra (24; 96%), PF (1; 4%)"	"Hölsken et al., Acta Neuropathol Commun. 2016 Feb 29;4:20. PMID: 26927026"	"DJ"	37	3	66	31.32	""	10	"Sella"	"CPH_ADM"	"Methylierungsklasse Kraniopharyngeom Subtyp adamantinös "
34	"CPH, PAP"	"43dad7"	"CPH_PAP"	"methylation class craniopharyngioma, papillary"	NA	"The methylation class "craniopharyngioma, papillary" exclusively comprises tumors with the histological diagnosis of papillary craniopharyngioma. These tumors are located in the vicinity of the pituitary gland; median age is 46.5 years (range 23 to 69). Molecularly, these tumors are characterized by mutations in BRAF (V600E) and activation of the MAPK signaling pathway. Recurrent chromosomal alterations are not observed and most cases show a flat profile in copy number analysis."	20	"46,5 (23-69)"	1.22222222222222	"WHO equivalent"	"Papillary craniopharyngioma   (20; 100%)"	""	"supra (20; 100%)"	"Hölsken et al., Acta Neuropathol Commun. 2016 Feb 29;4:20. PMID: 26927026"	"DJ"	46.5	23	69	45	""	11	"Sella"	"CPH_PAP"	"Methylierungsklasse Kraniopharyngeom, Subtyp papillär"
35	"PITAD, ACTH"	"137d75"	"PITAD_ACTH"	"methylation class pituitary adenoma, ACTH"	NA	"The methylation class "pituitary adenoma, ACTH" comprises tumors with the histological diagnosis pituitary adenoma (ACTH producing). All tumors are located in or around the sellar region; median age is 46 years (range 19 to 67). Additional characteristic molecular features of this class are not known. While some cases show chromosomal imbalances in copy number analysis, highly recurrent chromosomal alterations are not observed."	18	"46 (19-67)"	0.384615384615385	"WHO equivalent"	"Pituitary adenoma ACTH producing (18; 100%)"	""	"supra (18; 100%)"	"pending"	"DC"	46	19	67	44	""	76	"Sella"	"PITAD_ACTH"	"Methylierungsklasse Hypophysenadenom, Subtyp ACTH"
36	"PITAD, FSH LH"	"44a199"	"PITAD_FSH_LH"	"methylation class pituitary adenoma, FSH/LH"	NA	"The methylation class "pituitary adenoma, FSH/LH" exclusively comprises tumors with the histological diagnosis gonadotropin producing pituitary adenoma and to a lesser extent atypical pituitary adenomas. All tumors are located in or around the sellar region; median age is 65 years (range 18 to 79). Additional characteristic molecular features of this class are not known. Large recurrent chromosomal alterations are not observed and most cases show a flat profile in copy number analysis."	21	"65 (18-79)"	4	"WHO equivalent"	"Pituitary adenoma gonadotropin producing (21; 100%)"	""	"supra (21; 100%)"	"pending"	"DC"	65	18	79	60	""	77	"Sella"	"PITAD_GON"	"Methylierungsklasse Hypophysenadenom, Subtyp FSH/LH"
37	"PITAD, PRL"	"00b1a9"	"PITAD_PRL"	"methylation class pituitary adenoma, prolactin"	NA	"The methylation class "pituitary adenoma, prolactin" mainly comprises tumors with the histological diagnosis pituitary adenoma (Prolactin producing) and atypical pituitary adenoma. All tumors are located in or around the sellar region; median age is 57 years (range 12 to 78). Additional characteristic molecular features of this class are not known. Numeric whole chromosome changes are frequent in this class, with gain of chromosome 3, 5, 7, 8, 9, 12, 14 and 19 in over 60% of cases."	8	"57 (12-78)"	1	"WHO equivalent"	"Pituitary adenoma prolactin producing (8; 100%)"	""	"supra (7; 87.5%), mesenchyme (1; 12.5%)"	"pending"	"DC"	57	12	78	53.625	""	78	"Sella"	"PITAD_PRL"	"Methylierungsklasse Hypophysenadenom, Subtyp Prolaktin"
38	"PITAD, STH SPA"	"41ccbe"	"PITAD_STH_SPA"	"methylation class pituitary adenoma, STH sparsely granulated"	NA	"The methylation class "pituitary adenoma, STH sparsely granulated" mainly comprises tumors with the histological diagnosis pituitary adenoma (STH producing, sparsely granulated) but also single cases with different histological diagnosis. All tumors are located in or around the sellar region; median age is 48 years (range 30 to 71). Additional characteristic molecular features of this class are not known. While some cases show chromosomal imbalances in copy number analysis, highly recurrent large chromosomal alterations are not observed."	17	"48 (30-71)"	0.875	"WHO equivalent"	"Pituitary adenoma sparsely granulated GH/STH producing (17; 100%)"	""	"supra (17; 100%)"	"pending"	"DC"	48	30	71	44.4705882352941	""	81	"Sella"	"PITAD_STH_SPARSE"	"Methylierungsklasse Hypophysenadenom. Subtyp STH gering granuliert"
39	"PITAD, TSH"	"12d7c7"	"PITAD_TSH"	"methylation class pituitary adenoma, TSH"	NA	"The methylation class "pituitary adenoma, TSH" exclusively comprises tumors with the histological diagnosis pituitary adenoma (TSH producing). All tumors are located in or around the sellar region; median age is 43 years (range 23 to 69). Additional characteristic molecular features of this class are not known.  Numeric whole chromosome changes are frequent in this class, with gains of chromosome 7 and 14 and loss of chromosome 1p and 11 in over 50% of cases."	10	"43 (23-69)"	0.666666666666667	"WHO equivalent"	"Pituitary adenoma TSH producing (10; 100%)"	""	"supra (10; 100%)"	"pending"	"DC"	43	23	69	44.2	""	82	"Sella"	"PITAD_TSH"	"Methylierungsklasse Hypophysenadenom, Subtyp TSH"
40	"PITAD, STH DNS A"	"01c3bd"	"PITAD_STH_DNS_A"	"methylation class pituitary adenoma, STH densely granulated, group A"	NA	"The methylation class "pituitary adenoma, STH densely granulated, group A" exclusively comprises tumors with the histological diagnosis pituitary adenoma (STH producing, densely granulated). All tumors are located in or around the sellar region; median age is 45 years (range 37 to 59). Pituitary adenoma (STH producing, densely granulated) form two methylation classes (group A and B) of unknown clinical significance. Additional characteristic molecular features of this class are not known. Numeric whole chromosome changes are frequent in this class, with gains of chromosome 3, 5, 7, 8, 9, 12 and 20 and loss of chromosome 15 and 22 in over 50% of cases. "	9	"45 (37-59)"	0.8	"WHO subclass"	"Pituitary adenoma densely granulated GH/STH producing (9; 100%)"	""	"supra (9; 100%)"	"pending"	"DC"	45	37	59	46	""	79	"Sella"	"PITAD_STH_DENSE1"	"Methylierungsklasse Hypophysenadenom, Subtyp STH dicht granuliert, Gruppe A"
41	"PITAD, STH DNS B"	"14c5c9"	"PITAD_STH_DNS_B"	"methylation class pituitary adenoma, STH densely granulated, group B"	NA	"The methylation class "pituitary adenoma, STH densely granulated, group B" mainly comprises tumors with the histological diagnosis pituitary adenoma (STH producing, densely granulated) but also single cases with different histological diagnosis. All tumors are located in or around the sellar region; median age is 47.5 years (range 18 to 75). Pituitary adenoma (STH producing, densely granulated) form two methylation classes (group A and B) of unknown clinical significance. Additional characteristic molecular features of this class are not known.  While some cases show chromosomal imbalances in copy number analysis, highly recurrent chromosomal alterations are not observed. "	12	"47,5 (18-75)"	1.4	"WHO subclass"	"Pituitary adenoma densely granulated GH/STH producing (12; 100%)"	NA	"supra (12; 100%)"	"pending"	"DC"	47.5	18	75	45.5	""	80	"Sella"	"PITAD_STH_DENSE2"	"Methylierungsklasse Hypophysenadenom, Subtyp STH dicht granuliert, Gruppe B "
42	"PITUI"	"58d8db"	"PITUI"	"methylation class pituicytoma / granular cell tumor / spindle cell oncocytoma"	NA	"The methylation class "pituicytoma / granular cell tumor / spindle cell oncocytoma" comprises tumors with the histological diagnoses pituicytoma, granular cell tumor and spindle cell oncocytoma. All tumors are located in or around the sellar region, an association with the infundibulum is typical; median age is 54 years (range 27 to 77). A differentiation between pituicytoma, granular cell tumor and spindle cell oncocytoma is currently not possible based on methylation profiling. Additional characteristic molecular features of this class are not known. Recurrent chromosomal alterations are not observed and most cases show a flat profile in copy number analysis."	29	"54 (27-77)"	1.23076923076923	"not equivalent to WHO"	"Pituicytoma   (11; 37.9%)"	"Granular cell tumor (10; 34.5%)"	"supra (29; 100%), mesenchyme (1; 3.4%)"	"pending"	"DC"	54	27	77	54.448275862069	"Spindle cell oncocytoma (8: 27.6%)"	83	"Sella"	"PITUI"	"Methylierungsklasse Pituizytom / Granularzell Tumor / Spindelzell Onkozytom"
43	"EPN, RELA"	"d84c4b"	"EPN_RELA"	"methylation class ependymoma, RELA fusion"	NA	"The methylation class "ependymoma, RELA fusion" almost exclusively comprises tumors with the histological diagnosis of ependymoma, RELA fusion–positive. These tumors are generally located supratentorially. Median age is 8 years (range 0-69 years). Tumors of this class harbor an oncogenic fusion between C11ORF95 and RELA, a member of the NF kappa B signaling pathway. Structural alterations on chromosome 11 that result in this fusion are frequently apparent at a copy number level, including occasional chromothripsis."	70	"8 (0-69)"	1.25806451612903	"WHO equivalent"	"Ependymoma, RELA fusion–positive (70; 100%)"	""	"supra (64; 98.5%), PF (1; 1.5%)"	"Pajtler et al., Cancer Cell 2015, PMID: 25965575; Parker et al., Nature. 2014 Feb 27;506(7489):451-5. PMID: 24553141"	"DJ"	8	0	69	11.6307692307692	""	26	"Ependymal"	"EPN_RELPOS"	"Methylierungsklasse Ependymom, Subtyp RELA Fusion"
44	"EPN, PF A"	"e30149"	"EPN_PF_A"	"methylation class ependymoma, posterior fossa group A"	NA	"The methylation class "ependymoma, posterior fossa group A" mainly comprises tumors with a histological diagnosis of WHO grade II or III ependymoma. All cases are located in the posterior fossa (4th ventricle), and can extend to surround the brain stem and cerebellum. Median age is 3 years (range 0-20 years). Focal copy number changes are scarce, but broader changes such as gain of 1q are observed in around 20% of cases. Driving molecular changes in this class are not currently known."	91	"3 (0-20)"	1.93548387096774	"WHO subclass"	"Anaplastic ependymoma   (57; 62.6%)"	"Ependymoma   (34; 37.4%)"	"PF (86; 100%)"	"Pajtler et al., Cancer Cell 2015, PMID: 25965575"	"DJ"	3	0	20	4.10588235294118	""	24	"Ependymal"	"EPN_PFA"	"Methylierungsklasse Ependymom, Subtyp hintere Schädelgrube Gruppe A"
45	"EPN, PF B"	"df3854"	"EPN_PF_B"	"methylation class ependymoma, posterior fossa group B"	NA	"The methylation class "ependymoma, posterior fossa group B" comprises tumors with a histological diagnosis of WHO grade II or III ependymoma. All cases are located in the posterior fossa (4th ventricle). Median age is 29 years (range 8-65 years). Driving molecular changes in this class are not currently known. Numeric whole chromosome changes are frequent in this class, with gain of chromosome 4, 5, 7, 8, 9, 11, 12, 15, 18, 19 and 20 in over 50% of cases."	51	"29 (8-65)"	0.620689655172414	"WHO subclass"	"Ependymoma   (30; 58.8%)"	"Anaplastic ependymoma   (21; 41.2%)"	"PF (48; 100%)"	"Pajtler et al., Cancer Cell 2015, PMID: 25965575"	"DJ"	29	8	65	29.7333333333333	""	25	"Ependymal"	"EPN_PFB"	"Methylierungsklasse Ependymom, Subtyp hintere Schädelgrube Gruppe B"
46	"EPN, SPINE"	"ff044c"	"EPN_SPINE"	"methylation class ependymoma, spinal"	NA	"The methylation class "ependymoma, spinal" mainly comprises tumors with the histological diagnosis of classical (WHO II) ependymoma and very rare cases of anaplastic ependymoma. All cases have a spinal location, with most tumors occurring in the cervical or upper thoracic spinal cord; Median age is 43 years (range 11 to 74). Numeric whole chromosome changes are often observed in this class, with gain of chromosome 12 (>50%) and loss of chromosome 14 (>50%) and 22 (>80%) being most frequent."	27	"43 (11-74)"	2.125	"WHO subclass"	"Ependymoma   (26; 96.3%)"	"Anaplastic ependymoma   (1; 3.7%)"	"spinal (27; 100%), PF (2; 7.4%)"	"Pajtler et al., Cancer Cell 2015, PMID: 25965575"	"DC"	43	11	74	45.4814814814815	""	27	"Ependymal"	"EPN_SPINE"	"Methylierungsklasse Ependymom, Subtyp spinal"
47	"EPN, YAP"	"fe576c"	"EPN_YAP"	"methylation class ependymoma, YAP fusion"	NA	"The methylation class "ependymoma, YAP fusion" comprises tumors with a histological diagnosis of WHO grade II or III ependymoma. Tumors of this class are mainly located supratentorially. Median age is 1 year (range 0-51 years). These tumors harbor an oncogenic fusion involving YAP, a member of the Hippo signaling pathway. Structural alterations on chromosome 11 that result in this fusion are frequently apparent at a copy number level (>40%). Loss of chromosome 22 is also recurrently observed (>40% of cases)."	11	"1 (0-51)"	0.1	"WHO subclass"	"Anaplastic ependymoma   (7; 63.6%)"	"Ependymoma   (4; 36.4%)"	"supra (10; 90.9%), PF (1; 9.1%)"	"Pajtler et al., Cancer Cell 2015, PMID: 25965575"	"DJ"	1	0	51	7	""	30	"Ependymal"	"EPN_YAP"	"Methylierungsklasse Ependymom, Subtyp YAP Fusion"
48	"EPN, MPE"	"b90f38"	"EPN_MPE"	"methylation class ependymoma, myxopapillary"	NA	"The methylation class "ependymoma, myxopapillary" mainly comprises tumors with the histological diagnosis myxopapillary ependymoma and to a lesser extent ependymomas with classical or rarely tanycytic histology. The vast majority of tumors have a lumbar spinal location. Median age is 37.5 years (range 16 to 75). Additional characteristic molecular features of this class are not known to date. Numeric whole chromosome changes are frequent in this class, with gain of chromosome 5, 7, 9, 16 and 18 each in over 50% of cases."	28	"37,5 (16-75)"	0.8	"not equivalent to WHO"	"Myxopapillary ependymoma   (22; 78.6%)"	"Ependymoma   (5; 17.9%)"	"spinal (25; 92.6%), supra (2; 7.4%)"	"Pajtler et al., Cancer Cell 2015, PMID: 25965575"	"DC"	37.5	16	75	40.7142857142857	"Tanycytic ependymoma   (1: 3.6%)"	22	"Ependymal"	"EPN_MPE"	"Methylierungsklasse Ependymom, Subtyp myxopapillär"
49	"SUBEPN, PF"	"dd052e"	"SUBEPN_PF"	"methylation class subependymoma, posterior fossa"	NA	"The methylation class "subependymoma, posterior fossa" mainly comprises tumors with the histological diagnosis of subependymoma and to a lesser extent tumors with the histological appearance of classical ependymoma. All cases are located in the posterior fossa; an extension into the 4th ventricle is frequent. Median age is 56 years (range 33 to 76). Copy number alterations are scarce, with loss of chromosome 6 and Y (both in around 20% of cases) being most frequent. Additional characteristic molecular features of this class are not known."	37	"56 (33-76)"	4.14285714285714	"not equivalent to WHO"	"Subependymoma   (26; 70.3%)"	"Ependymoma   (11; 29.7%)"	"PF (37; 100%)"	"Pajtler et al., Cancer Cell 2015, PMID: 25965575"	"DC"	56	33	76	55.1212121212121	""	23	"Ependymal"	"EPN_PF_SE"	"Methylierungsklasse Subependymom, Subtyp hintere Schädelgrube"
50	"SUBEPN, SPINE"	"fa3b44"	"SUBEPN_SPINE"	"methylation class subependymoma, spinal"	NA	"The methylation class "subependymoma, spinal" mainly comprises tumors with the histological diagnosis of subependymoma and to a lesser extent classical (WHO II) ependymoma. All cases have a spinal location with most tumors occurring in the cervical or upper thoracic spinal cord; Median age is 46 years (range 22 to 68). In copy number analysis up to 30% of cases show partial or complex losses of chromosome 6. Additional characteristic molecular features of this class are not known."	9	"46 (22-68)"	0.8	"not equivalent to WHO"	"Subependymoma   (7; 77.8%)"	"Ependymoma   (2; 22.2%)"	"spinal (9; 100%)"	"Pajtler et al., Cancer Cell 2015, PMID: 25965575"	"DC"	46	22	68	45.5555555555556	""	28	"Ependymal"	"EPN_SPINE_SE"	"Methylierungsklasse Subependymom, Subtyp spinal"
51	"SUBEPN, ST"	"ff4156"	"SUBEPN_ST"	"methylation class subependymoma, supratentorial"	NA	"The methylation class "subependymoma, supratentorial" mainly comprises tumors with the histological diagnosis of subependymoma and to a lesser extend classical (WHO II) ependymoma. All cases are located in or around the lateral ventricle. Median age is 48 years (range 25 to 72). Additional characteristic molecular features of this class are not known. Recurrent chromosomal alterations are not observed and most cases show a flat profile in copy number analysis."	19	"48 (25-72)"	2.16666666666667	"not equivalent to WHO"	"Subependymoma   (13; 68.4%)"	"Ependymoma   (6; 31.6%)"	"supra (17; 100%)"	"Pajtler et al., Cancer Cell 2015, PMID: 25965575"	"DC"	48	25	72	49.2105263157895	""	29	"Ependymal"	"EPN_ST_SE"	"Methylierungsklasse Subependymom, Subtyp supratentoriell"
52	"CHGL"	"b37dec"	"CHGL"	"methylation class chordoid glioma of the third ventricle"	NA	"The methylation class "chordoid glioma of the third ventricle" exclusively comprises tumors with the histological diagnosis chordoid glioma of the third ventricle. Location of all cases is in or around the third ventricle; median age is 47 years (range 26 to 61). Additional characteristic molecular features of this class are not known to date. Recurrent chromosomal alterations are not observed and most cases show a flat profile in copy number analysis. "	12	"47 (26-61)"	4.5	"WHO equivalent"	"Chordoid glioma of third ventricle   (12; 100%)"	""	"supra (11; 100%)"	"pending"	"DC"	47	26	61	45	""	5	"Other glioma"	"CHD3V"	"Methylierungsklasse chordoides Gliom des III Ventrikels"
53	"LGG, SEGA"	"ad6ef1"	"LGG_SEGA"	"methylation class low grade glioma, subependymal giant cell astrocytoma"	NA	"The methylation class "low grade glioma, subependymal giant cell astrocytoma" mainly comprises tumors with the histological diagnosis of subependymal giant cell astrocytoma and single cases of pilocytic astrocytoma. These tumors are located in the vicinity of the lateral ventricle; median age is 13 years (range 0 to 39). These tumors frequently occur within the setting of tuberous sclerosis complex and harbor alterations of TSC1 or TSC2. Recurrent chromosomal alterations are not observed and most cases show a flat profile in copy number analysis."	21	"13 (0-39)"	1.11111111111111	"WHO equivalent"	"Subependymal giant cell astrocytoma   (21; 100%)"	""	"supra (15; 100%)"	"pending"	"DC"	13	0	39	13.7368421052632	""	91	"Other glioma"	"SEGA"	"Methylierungsklasse niedriggradiges Gliom, Subtyp subependymales Riesenzellastrozytom"
54	"LGG, PA PF"	"9d73c9"	"LGG_PA_PF"	"methylation class low grade glioma, subclass posterior fossa pilocytic astrocytoma"	"MTGF_PA"	"The methylation class "low grade glioma, subclass posterior fossa pilocytic astrocytoma" is principally comprised of tumors diagnosed as pilocytic astrocytoma, or very rarely ganglioglioma or anaplastic pilocytic astrocytoma. Tumors are mainly located in the posterior fossa (primarily cerebellum, but also 4th ventricle). Median age is 7 years (range 1 to 50). These tumors typically carry MAPK pathway alterations, most commonly KIAA1549:BRAF fusion, but also some others (BRAF mutation, NF1 etc.). In case of high quality data the BRAF duplication can be appreciated on chromosome 7q (present in >80% of the reference cases). Besides this, most cases show a flat profile in copy number analysis. "	114	"7 (1-50)"	1	"WHO subclass"	"Pilocytic astrocytoma   (111; 97.4%)"	"Anaplastic pilocytic astrocytoma (unresolved status) (2; 1.8%)"	"PF (107; 96.4%), supra (4; 3.6%), spinal (1; 0.9%)"	"Lambert et al., Acta Neuropathol. 2013 Aug;126(2):291-301. PMID: 23660940; Jones et al., Nat Genet. 2013 Aug;45(8):927-32. PMID: 2381757"	"DJ"	7	1	50	9.51351351351351	"Ganglioglioma  (1: 0.9%)"	69	"Other glioma"	"PA_INF"	"Methylierungsklasse niedriggradiges Gliom, Subtyp pilozytisches Astrozytom der hinteren Schädelgrube"
55	"LGG, PA MID"	"b890e0"	"LGG_PA_MID"	"methylation class low grade glioma, subclass midline pilocytic astrocytoma"	"MTGF_PA"	"The methylation class "low grade glioma, subclass midline pilocytic astrocytoma" is mainly comprised of tumors diagnosed as pilocytic astrocytoma, or occasionally pilomyxoid astrocytoma (particularly in younger children). Tumors are located in supratentorial midline structures (thalamus, optic pathway, 3rd ventricle). Median age is 4 years (range 0-33 years). These tumors typically carry MAPK pathway alterations, most commonly KIAA1549:BRAF fusion, but also some others (for example FGFR1 mutation is recurrently observed in this class and NF1-associated OPGs typically belong to this category). In case of high quality data the BRAF duplication can be appreciated on chromosome 7q (present in >60% of the reference cases). Besides this, most cases show a flat profile in copy number analysis."	38	"4 (0-33)"	0.608695652173913	"WHO subclass"	"Pilocytic astrocytoma   (33; 86.8%)"	"Pilomyxoid astrocytoma   (5; 13.2%)"	"supra (29; 93.5%), peripheral nerve (4; 12.9%), PF (1; 3.2%)"	"Lambert et al., Acta Neuropathol. 2013 Aug;126(2):291-301. PMID: 23660940; Jones et al., Nat Genet. 2013 Aug;45(8):927-32. PMID: 2381757"	"DJ"	4	0	33	5.93548387096774	""	70	"Other glioma"	"PA_MID"	"Methylierungsklasse niedriggradiges Gliom, Subtyp pilozytisches Astrozytom der Mittellinie"
56	"ANA PA"	"734ba9"	"ANA_PA"	"methylation class anaplastic pilocytic astrocytoma"	NA	"The methylation class "anaplastic pilocytic astrocytoma" is mainly comprised of tumors with the histological diagnosis of anaplastic pilocytic astrocytoma or less commonly glioblastoma. The tumors mostly occur in the posterior fossa and rarely in the diencephalic/thalamic region; median age is 40 years (age range 24 to 75). Deletions of CDKN2A/B are very frequent (>70%). BRAF duplications are also observed in a fraction of cases. Around 50% of cases show an immunohistochemical loss of ATRX. Loss of chromosome 19q (total or partial) is observed in over 50% of cases. "	21	"40 (24-75)"	1.1	"not equivalent to WHO"	"Anaplastic pilocytic astrocytoma (unresolved status) (14; 66.7%)"	"Glioblastoma, IDH-wildtype  (5; 23.8%)"	"PF (18; 85.7%), supra (3; 14.3%), spinal (1; 4.8%)"	"pending"	"DC"	40	24	75	44.2857142857143	"CNS embryonal tumour, NOS            (1: 4.8%)"	14	"Other glioma"	"cPXA"	"Methylierungsklasse MAPK aktiviertes Gliom, Subtyp anaplastisches pilozytisches Astrozytom"
